matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
"okay , I know it's hard when you get to have a cold .",nanette_mothertoy.cha,1970,know,think,know,declarative,declarative,1,1.018,nanette,mother,*MOT:	do you know what kind of hat that is?,*CHI:	that's a .,*MOT:	whoops !,"*MOT:	careful of the box, sweetheart.",*MOT:	do you know what?,*MOT:	this is a nurse's hat.,*MOT:	she's now pretending to be a nurse.,*CHI:	yeah.,*MOT:	do you want me to get you a handkerchief so_that you can wipe your,*CHI:	yeah.,"*MOT:	okay, I know it's hard when you get to have a cold.","*MOT:	I don't think we're supposed to touch that, sweetheart.",*MOT:	that belongs to . the people that  . who own this playroom,525
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,525
I know you have Rice Krispies here in the store someplace .,david_mothertoy.cha,315,know,think,know,declarative,declarative,1,1.005,david,mother,*MOT:	you're trying to make me buy everything.,*CHI:	no.,*CHI:	no.,*CHI:	because that's what you have_to have.,*MOT:	okay.,*MOT:	Mr Storeman.,"*MOT:	there's one thing that I really, really, really want.",*MOT:	and I would really appreciate it if you would get it for me.,*CHI:	what is that?,*MOT:	and that's some Rice Krispies.,*MOT:	I know you have Rice Krispies here in the store someplace.,*MOT:	can you find me some?,*CHI:	I don't have any.,525
I know you don't have_to .,richard_mothertoy.cha,2300,know,think,know,declarative,declarative,1,1.007,richard,mother,*MOT:	yeah.,*MOT:	what do you do with the spoon?,*MOT:	huh?,"*MOT:	Richard, I'm gonna take off the wheels.",*CHI:	no.,*MOT:	yes.,*MOT:	an you're gonna try and put them back on?,*MOT:	okay?,*CHI:	no.,*CHI:	don't have_to.,*MOT:	I know you don't have_to.,*CHI:	you don't have_to.,"*CHI:	you don't have_to, Mommy.",525
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,525
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,525
I know you don't .,helen_dinner.cha,526,know,think,know,declarative,declarative,1,1.006,helen,dinner,*MOT:	when is the corn gonna be ready?,*CHI:	yeah.,"*MOT:	oh, in about ten minutes.","*CHI:	Mommy, I want some more soup.",*MOT:	you do?,"*MOT:	alright here, I'll give you some of mine, okay?","*SIS:	Ma, I don't want any more .","*FAT:	you can have some more carrots,   too.",*MOT:	oh.,*SIS:	I don't want any more.,*MOT:	I know you don't.,*MOT:	it's alright 6..,"*CHI:	thank_you, Daddy.",525
no ya know Daddy wasn't home .,eddie_dinner.cha,992,know,think,know,declarative,declarative,2,1.002,eddie,dinner,*MOT:	xxx.,*MOT:	did you tell Daddy who had supper with us last night?,*MOT:	xxx.,*MOT:	who ate here last night?,*FAT:	I didn't see you last night .,*CHI:	Uncle Allen .,*FAT:	Allen who?,*CHI:	Allen Reed.,*FAT:	okay.,*FAT:	I didn't see you last night.,*MOT:	no ya know Daddy wasn't home.,*FAT:	tell me what you did last night.,"*MOT:	tell him, yeah  tell him what happened.",525
I know I definitely need cereal .,ursula_mothertoy.cha,864,know,think,know,declarative,declarative,1,1.021,ursula,mother,*MOT:	what do you  wanna do?,*MOT:	how  .,*MOT:	are you gonna  are we gonna buy something at the store?,*CHI:	no.,*CHI:	you  you buy . the money and then you git one.,*MOT:	am I supposed to buy thing from you?,*MOT:	are you a lady that works in the store?,"*CHI:	&um, yeah.",*MOT:	oh .. okay .. you're a lady that works there.,"*MOT:	let me see now, what would I like to buy today?",*MOT:	I know I definitely need cereal.,*MOT:	may  I have a box of Rice Krispies and a box of corn flakes?,*CHI:	&ah   we don't have Rice Krispies.,525
"well , I know it's money .",bobby_mothertoy.cha,1282,know,think,know,declarative,declarative,1,1.017,bobby,mother,*MOT:	which one's the ten dollar bill?,*CHI:	this.,*MOT:	what's that number on it?,*CHI:	&uh xxx.,"*MOT:	no, what's the number?",*CHI:	&uh xxx.,*MOT:	look at it !,*MOT:	don't guess.,*MOT:	look at it.,*CHI:	money.,"*MOT:	well, I know it's money.",*MOT:	but what number's that?,*CHI:	xxx.,525
