matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
"I know you're <finished , > [>] Rachi .",john_dinner.cha,2188,know,think,know,declarative,declarative,1,1.003,john,dinner,*MOT:	Jimmy Carter would win.,*FAT:	I just wanted to make sure last time +/.,*MOT:	that .. what?,*SIS:	I going in there.,*MOT:	I don't think so.,*MOT:	because they're working in there.,*MOT:	and they don't want you to come there now.,*MOT:	after when they're finished you can come there.,*FAT:	they will be happy to have you +/.,*SIS:	and me finished.,"*MOT:	I know you're finished,   Rachi.",*SIS:	please .,*MOT:	how about something else?,8138
I know it's not a big favor [=! laughing] .,victor_dinner.cha,3411,know,think,know,declarative,declarative,1,1.016,victor,dinner,*MOT: [imitates noise so cold]?,*MOT:	no thank_you.,*FAT:	&mm: boy.,*MOT: [snickers].,*FAT: [snickers and grunts]6. no thanks.,*MOT:	goes with the corn on 3. your chin.,"*FAT:	orange and yellow, it's very . xxx sunny ya know.",*CHI:	no?,*MOT:	no thanks I'm debating whether to tell you guys you can come to the,*FAT: [laughing don't do me any favors xxx].,*MOT:	I know it's not a big favor [laughing].,*MOT:	that's why I'm debating.,*FAT:	[laughs].,8138
"oh yeah , I know that's a_lot_of good stuff in there xxx .",katie_dinner.cha,2081,know,think,know,declarative,declarative,1,1.013,katie,dinner,*MOT:	we're not gonna eat here so you can have a xxx .,*AUN:	xxx  left over night is the night you guys go out [laughs].,*FAT:	gonna finish your muffin?,"*AUN:	no, I'll xxx  .",*MOT:	give  her time.,*MOT:	give her time.,*AUN:	I like leftovers.,"*MOT:	well, there's  there's xxx and there's macaroni .",*CHI:	&mm .,*CHI:	&mm .,"*AUN:	oh yeah, I know that's a_lot_of good stuff in there xxx.","*AUN:	Katie, it's left over night.",*CHI:	who?,8138
I know I want some milk .,isadora_fathertoy.cha,364,know,think,know,declarative,declarative,1,1.019,isadora,father,*FAT:	can you find a good cereal in your store for me?,*CHI:	mhm.,*FAT:	which kind of good cereal is that?,*CHI:	&um there  there's drinks here too.,*FAT:	there're drinks too?,*CHI:	you could have hotdogs.,*FAT:	not for breakfast.,*CHI:	mhm.,*FAT:	well.,*FAT:	look.,*FAT:	I know I want some milk.,*FAT:	can I have one of these?,*CHI:	yeah.,8138
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,8138
I know these go here .,david_mothertoy.cha,3541,know,think,know,declarative,declarative,1,1.012,david,mother,*MOT:	xxx.,*CHI:	take that thing out.,*MOT:	&uh oh.,*MOT:	&uh oh.,*CHI:	what happened?,*MOT:	&uh oh.,*MOT:	xxx.,*MOT:	the little bit that I did fell out.,*CHI:	which fell out?,*MOT:	the little nuts that I put back in.,*MOT:	I know these go here.,*MOT:	that's about the only thing I know.,*MOT:	okay.,8138
I know I hate those things too artificial corn holders .,victor_dinner.cha,1846,know,think,know,declarative,declarative,1,1.02,victor,dinner,*MOT:	[laughs they'd like you to][laughs schedule it more than].,*MOT:	.. except it's on my calendar.,*MOT:	she understanded  .,*FAT: [grunts].,*MOT:	[laughs].,*FAT:	&mm: xxx.,*FAT: [grunts].,*MOT:	she said they call you the night .,*MOT:	they call you one night .. during the week before you come and,*CHI:	those things out.,*MOT:	I know I hate those things too artificial corn holders.,*FAT:	well .,*FAT: [grunts].,8138
I know you don't have_to .,richard_mothertoy.cha,2300,know,think,know,declarative,declarative,1,1.007,richard,mother,*MOT:	yeah.,*MOT:	what do you do with the spoon?,*MOT:	huh?,"*MOT:	Richard, I'm gonna take off the wheels.",*CHI:	no.,*MOT:	yes.,*MOT:	an you're gonna try and put them back on?,*MOT:	okay?,*CHI:	no.,*CHI:	don't have_to.,*MOT:	I know you don't have_to.,*CHI:	you don't have_to.,"*CHI:	you don't have_to, Mommy.",8138
"well , I know it's money .",bobby_mothertoy.cha,1282,know,think,know,declarative,declarative,1,1.017,bobby,mother,*MOT:	which one's the ten dollar bill?,*CHI:	this.,*MOT:	what's that number on it?,*CHI:	&uh xxx.,"*MOT:	no, what's the number?",*CHI:	&uh xxx.,*MOT:	look at it !,*MOT:	don't guess.,*MOT:	look at it.,*CHI:	money.,"*MOT:	well, I know it's money.",*MOT:	but what number's that?,*CHI:	xxx.,8138
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,8138
I know you have Rice Krispies here in the store someplace .,david_mothertoy.cha,315,know,think,know,declarative,declarative,1,1.005,david,mother,*MOT:	you're trying to make me buy everything.,*CHI:	no.,*CHI:	no.,*CHI:	because that's what you have_to have.,*MOT:	okay.,*MOT:	Mr Storeman.,"*MOT:	there's one thing that I really, really, really want.",*MOT:	and I would really appreciate it if you would get it for me.,*CHI:	what is that?,*MOT:	and that's some Rice Krispies.,*MOT:	I know you have Rice Krispies here in the store someplace.,*MOT:	can you find me some?,*CHI:	I don't have any.,8138
I know you don't .,helen_dinner.cha,526,know,think,know,declarative,declarative,1,1.006,helen,dinner,*MOT:	when is the corn gonna be ready?,*CHI:	yeah.,"*MOT:	oh, in about ten minutes.","*CHI:	Mommy, I want some more soup.",*MOT:	you do?,"*MOT:	alright here, I'll give you some of mine, okay?","*SIS:	Ma, I don't want any more .","*FAT:	you can have some more carrots,   too.",*MOT:	oh.,*SIS:	I don't want any more.,*MOT:	I know you don't.,*MOT:	it's alright 6..,"*CHI:	thank_you, Daddy.",8138
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,8138
oh I know you can why don't you just .,andy_mothertoy.cha,1315,know,think,know,declarative,declarative,1,1.009,andy,mother,*CHI:	where was it?,"*MOT:	oh, it's right there Andy.",*INV:	how's it going?,*MOT:	fine.,*INV:	don't feel that you have_to put it back together again.,*MOT:	oh.,*INV:	why don't you just move on to the next one?,*MOT:	oh okay.,*INV:	it's terribly complicated.,*CHI:	I can fix it up.,*INV:	oh I know you can why don't you just.,*MOT:	yeah yeah Andy's been talking about it cause he couldn't do it last,*INV:	well it is  it is  it's  it isn't important to put it,8138
"I know one of the wheels goes in here , right ?",andy_fathertoy.cha,1072,know,think,know,declarative,declarative,1,1.014,andy,father,*FAT:	yeah. ,*FAT:	you're right. ,*FAT:	does this red fellow go here? ,*FAT:	no. ,*FAT:	xxx. ,*CHI:	where is my place? ,*FAT:	xxx. ,*CHI:	where's my place? ,*FAT:	well I know one thing. ,*CHI:	what? ,"*FAT:	I know one of the wheels goes in here, right? ",*FAT:	xxx. ,*CHI:	that's not the wheel. ,8138
"oh , I know what that is .",patricia_fathertoy.cha,1767,know,think,know,declarative,interrogative,1,3.011,patricia,father,*CHI:	that's a boy.,"*FAT:	alright, let's see xxx your stereotypes.",*FAT:	is this a boy or a girl.,*CHI:	a boy.,*FAT:	that's a boy too.,"*FAT:	oh, there's hope for you.","*FAT:	alright, now .",*FAT:	oh we took something off.,*FAT:	what's this?,*CHI:	what's this?,"*FAT:	oh, I know what that is.",*CHI:	what?,*FAT:	it's called a jack.,8138
yeah I know what he wants .,olivia_dinner.cha,567,know,think,know,declarative,interrogative,1,3.014,olivia,dinner,*FAT:	they're unreal.,*MOT:	was he xxx that night?,*FAT:	he was on that night yeah.,*FAT:	he's a good public relations man.,*FAT:	he sent residents to the party while he stayed in the hospital,*CHI:	wah  !,*CHI:	wah  !,*FAT:	all public relations.,*MOT:	oolee:   what's the matter ?,*CHI:	wah wah [high pitched noises].,*MOT:	yeah I know what he wants.,*MOT:	. you tired little fella?,*FAT:	are you tired little fella ?,8138
oh I know what we can do for lunch .,charlie_fathertoy.cha,676,know,think,know,declarative,interrogative,1,3.009,charlie,father,*FAT:	chocolate. ,*CHI:	Oreos. ,*FAT:	Oreos. ,*FAT:	oh I see something that I would love to have for lunch. ,*FAT:	not that. ,*FAT:	lasagne. ,*CHI:	&mm lasagne . ,*FAT:	you know what  lasagne is? ,*CHI:	yeah. ,*CHI:	hey where that box is? ,*FAT:	oh I know what we can do for lunch. ,*CHI:	what? ,*FAT:	let's . ,8138
so I know where that store is now .,susan_dinner.cha,1388,know,think,know,declarative,interrogative,1,3.005,susan,dinner,*MOT:	it's a size six.,*CHI:	it's a size six.,*FAT:	[laughs].,*CHI:	[laughs but xxx].,*FAT:	for  a six year old?,*FAT:	no kidding !,*CHI:	[laughs].,*FAT:	now that's twice as big and old as you.,*FAT:	I finally found out where Jack's is.,*FAT:	I drove past it on my way way to Jane Cook's.,*FAT:	so I know where that store is now.,*MOT:	hm?,*MOT:	does she live in Briggffona?,8138
I know why I'm <standing up> [>] .,patricia_dinner.cha,2007,know,think,know,declarative,interrogative,1,3.003,patricia,dinner,*FAT:	I know.,"*FAT:	I showed her that, but xxx.",*FAT:	look at it after dinner if you want.,*FAT:	eat your pickle.,*FAT:	I gave you a pickle to eat.,*FAT:	Usher likes pickles.,*CHI:	mumnum  mummum  .,*MOT:	what.,*MOT:	is the  is the xxx gone?,*FAT:	alright.,*FAT:	I know why I'm standing up .,*FAT:	I wanna call Michael.,*MOT:	the french frys are all_gone.,8138
I know what it is .,martin_dinner.cha,2690,know,think,know,declarative,interrogative,1,3.012,martin,dinner,*CHI:	0.,*MOT:	whyn't  you eat those potatoes?,*MOT:	you did a very nice job.,*MOT:	you ate all your scallops and your salad.,*MOT:	whyn't  you eat some potato?,*FAT:	what's the red stuff on the floor here ?,*CHI:	Daddy ate the scallops .,*MOT:	yeah [laughs but Daddy didn't eat too many of em].,"*FAT:	oh, God !",*FAT:	there's chopped up +/.,*MOT:	I know what it is.,*FAT:	chopped up crayon.,*CHI:	I eat too many of em .,8138
