matched_term,file_name,match_line_number,know_option,think_option,target,token,force,comp,subj,unique_id,verb_in_prior_context,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors,Factors
you think you can fix my car next time it breaks?,laurel mothertoy.cha,438,know,think,think,think,interrogative,declarative,2,5.005,no,laurel,mother,MOTHER: \t well.,MOTHER: \t you have to use a screwdriver.,MOTHER: \t use the screwdriver.,MOTHER: \t is it hard to turn?,MOTHER: \t I bet you can do it.,MOTHER: \t here.,MOTHER: \t let's do it together.,"MOTHER: \t let's turn it this way, Laurie.",MOTHER: \t this way.,MOTHER: \t there we go.,MOTHER: \t you think you can fix my car next time it breaks?,CHILD: \t [noise],MOTHER: \t very good.,666,think-interrogative-declarative,think-interrogative-declarative
you think there might be some money in there?,laurel mothertoy.cha,1744,know,think,think,think,interrogative,declarative,2,5.01,yes,laurel,mother,MOTHER: \t this is a little store.,MOTHER: \t you know when I go to the store?,MOTHER: \t I buy food.,MOTHER: \t and then the lady rings it all up on the cash register.,CHILD: \t yeah.,MOTHER: \t would you like... would you like for me to buy food?,CHILD: \t you play...,CHILD: \t put this...,MOTHER: \t I wonder if they have some money to play with.,MOTHER: \t you think so?,MOTHER: \t you think there might be some money in there?,CHILD: \t yeah.,MOTHER: \t how do we open this?,666,think-interrogative-declarative,think-interrogative-declarative
you think that's the way she's viewing it?,charlie dinner.cha,3754,know,think,think,think,interrogative,declarative,2,5.014,yes,charlie,dinner,"MOTHER: \t I... I agree but you're speaking from the conservationist's point of view, and it would be interesting to hear...","FATHER: \t well, even...  even from a human, uh, from an aesthetic point of view in which she want...",CHILD: \t I spilled some.,"CHILD: \t I spilled some, I spilled some, I spilled some, I spilled some.","FATHER: \t I think there's some... supposed to be, what twice as many people in the... by the year two thousand or something like that.",FATHER: \t does she want that?,MOTHER: \t I don't know whether she...,"CHILD: \t I spilled, I spilled, I spilled.",FATHER: \t it seems to me she's taking very much in the attitude of...,"FATHER: \t  ""I find pleasure in it right now and it's somebody else's problem later.""",MOTHER: \t you think that's the way she's viewing it?,CHILD: \t I spilled it.,CHILD: \t I spilled...,666,think-interrogative-declarative,think-interrogative-declarative
you think that's funny?,ursula mothertoy.cha,2010,know,think,think,think,interrogative,declarative,2,5.015,no,ursula,mother,MOTHER: \t he climbs up the tree.,CHILD: \t [laugh],"MOTHER: \t the kitty cat's hanging on by one limb, grabs a hold of him.",CHILD: \t [giggle],MOTHER: \t whoops... there goes the branch.,MOTHER: \t it's ready to crack.,MOTHER: \t oh oh.,MOTHER: \t there it goes snap!,"MOTHER: \t aw, he's fallen down.",CHILD: \t [laugh],MOTHER: \t you think that's funny?,CHILD: \t [laugh] what happened?,MOTHER: \t the man...,666,think-interrogative-declarative,think-interrogative-declarative
you think  that might be a good idea?,ursula fathertoy.cha,1147,know,think,think,think,interrogative,declarative,2,5.017,yes,ursula,father,FATHER: \t uhhuh.,CHILD: \t ...I'm all done now I'm almost...,FATHER: \t well... you didn't take it off though.,FATHER: \t don't you think we should take that off?,CHILD: \t yeah.,FATHER: \t how bout if Dad takes it off?,FATHER: \t and you try to put it back together again?,CHILD: \t yeah.,CHILD: \t take...,FATHER: \t take that out of my...,FATHER: \t you think  that might be a good idea?,CHILD: \t yeah...,FATHER: \t well let's try that.,666,think-interrogative-declarative,think-interrogative-declarative
you think it sits there and holds up the car maybe?,wanda fathertoy.cha,632,know,think,think,think,interrogative,declarative,2,5.022,yes,wanda,father,FATHER: \t what is this?,FATHER: \t I don't know what this is.,"FATHER: \t okay, go ahead.",CHILD: \t what ya hafta do?,FATHER: \t I'm not quite sure.,CHILD: \t I think you hafta hold that.,"FATHER: \t oh, I see what this is.","FATHER: \t oh, this was a jack.",CHILD: \t what does it do?,FATHER: \t I think... I think that's what I thought it was.,FATHER: \t you think it sits there and holds up the car maybe?,CHILD: \t yeah.,FATHER: \t okay.,666,think-interrogative-declarative,think-interrogative-declarative
you think I have enough?,ursula mothertoy.cha,1107,know,think,think,think,interrogative,declarative,2,5.024,no,ursula,mother,MOTHER: \t we can always use that.,CHILD: \t and here'sÂ some milk.,"MOTHER: \t milk, huh?",CHILD: \t some more kinds of milk.,MOTHER: \t okay.,CHILD: \t you get...,"MOTHER: \t gee that's gonna be awfully expensive, isn't it?",CHILD: \t no...,MOTHER: \t is it gonna cost lots of money?,CHILD: \t well it cost a lot of money but...,MOTHER: \t you think I have enough?,CHILD: \t well maybe.,CHILD: \t I hafta get some more... that's all money.,1,think-interrogative-declarative,think-interrogative-declarative
do you think you might like to try the car again?,olivia mothertoy.cha,2590,know,think,think,think,interrogative,declarative,2,5.041,no,olivia,mother,MOTHER: \t hmm?,CHILD: \t where'd ya sleep?,MOTHER: \t go... I'm gonna go into my bed.,CHILD: \t huh?,MOTHER: \t can I sleep in your bed?,MOTHER: \t no?,CHILD: \t no.,MOTHER: \t can I go on the sofa?,INVESTIGATOR: \t [noise],CHILD: \t Sandy.,INVESTIGATOR: \t do you think you might like to try the car again?,MOTHER: \t the car?,MOTHER: \t okay.,666,think-interrogative-declarative,think-interrogative-declarative
do you think we should put this back together again... alright oh. ,bobby fathertoy.cha,3078,know,think,think,think,interrogative,declarative,2,5.057,no,bobby,father,FATHER: \t we're all done. ,FATHER: \t okay. ,"INVESTIGATOR: \t hi, Bobby. ",CHILD: \t hi. ,FATHER: \t wanna hurry up and put it back together again. ,CHILD: \t yeah. ,"INVESTIGATOR: \t Bobby, thank you very much for coming we have a present for you.",FATHER: \t what do you say. ,CHILD: \t thank you. ,INVESTIGATOR: \t you'll welcome. ,FATHER: \t do you think we should put this back together again... alright oh. ,INVESTIGATOR: \t oh oh no leave it. ,INVESTIGATOR: \t [noise] Bobby while we'll waiting you can hang around in here... and with the thing here if...,666,think-interrogative-declarative,think-interrogative-declarative
do you think they'll ever catch that cat?,laurel mothertoy.cha,1236,know,think,think,think,interrogative,declarative,2,5.065,yes,laurel,mother,"MOTHER: \t and what happened, Laurie?",CHILD: \t they fell.,MOTHER: \t they sure did.,CHILD: \t why did he?,MOTHER: \t because he didn't know the water was there.,MOTHER: \t and he stepped out of the pipe and went right into the water.,MOTHER: \t and the cat...,MOTHER: \t what did the cat do?,CHILD: \t ran away.,MOTHER: \t yeah.,MOTHER: \t do you think they'll ever catch that cat?,CHILD: \t no.,MOTHER: \t well.,666,think-interrogative-declarative,think-interrogative-declarative
