matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
I know I definitely need cereal .,ursula_mothertoy.cha,864,know,think,know,declarative,declarative,1,1.021,ursula,mother,*MOT:	what do you  wanna do?,*MOT:	how  .,*MOT:	are you gonna  are we gonna buy something at the store?,*CHI:	no.,*CHI:	you  you buy . the money and then you git one.,*MOT:	am I supposed to buy thing from you?,*MOT:	are you a lady that works in the store?,"*CHI:	&um, yeah.",*MOT:	oh .. okay .. you're a lady that works there.,"*MOT:	let me see now, what would I like to buy today?",*MOT:	I know I definitely need cereal.,*MOT:	may  I have a box of Rice Krispies and a box of corn flakes?,*CHI:	&ah   we don't have Rice Krispies.,4111
"I know one of the wheels goes in here , right ?",andy_fathertoy.cha,1072,know,think,know,declarative,declarative,1,1.014,andy,father,*FAT:	yeah. ,*FAT:	you're right. ,*FAT:	does this red fellow go here? ,*FAT:	no. ,*FAT:	xxx. ,*CHI:	where is my place? ,*FAT:	xxx. ,*CHI:	where's my place? ,*FAT:	well I know one thing. ,*CHI:	what? ,"*FAT:	I know one of the wheels goes in here, right? ",*FAT:	xxx. ,*CHI:	that's not the wheel. ,4111
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,4111
I know you do .,victor_mothertoy.cha,195,know,think,know,declarative,declarative,1,1.008,victor,mother,*CHI:	soup?,*MOT:	maybe.,*MOT:	soup.,*CHI:	soup.,*CHI:	what's dis ?,*MOT:	that is .,*CHI:	what?,*MOT:	stuff you put in milk.,*MOT:	it's terrible it's all sugar.,*CHI:	I like sugar.,*MOT:	I know you do.,"*CHI:	what's dis , Mama?",*MOT:	that you know.,4111
I know I want some milk .,isadora_fathertoy.cha,364,know,think,know,declarative,declarative,1,1.019,isadora,father,*FAT:	can you find a good cereal in your store for me?,*CHI:	mhm.,*FAT:	which kind of good cereal is that?,*CHI:	&um there  there's drinks here too.,*FAT:	there're drinks too?,*CHI:	you could have hotdogs.,*FAT:	not for breakfast.,*CHI:	mhm.,*FAT:	well.,*FAT:	look.,*FAT:	I know I want some milk.,*FAT:	can I have one of these?,*CHI:	yeah.,4111
she knows I'm going away .,victor_dinner.cha,3667,knows,thinks,know,declarative,declarative,3,1.001,victor,dinner,*MOT:	you xxx can do that but the next week I will not be here.,*MOT:	I will be on the vineyard.,*FAT:	xxx.,*MOT:	and I have him.,*MOT:	I come back Saturday.,*CHI:	ee@b !,*FAT: [clears throat].,*FAT:	that's convenient [laughs].,*MOT:	[laughs].,*MOT:	&um Alice might keep him.,*MOT:	she knows I'm going away.,*MOT:	she's agreed to .. help out.,*MOT:	or whatever .,4111
I know these go here .,david_mothertoy.cha,3541,know,think,know,declarative,declarative,1,1.012,david,mother,*MOT:	xxx.,*CHI:	take that thing out.,*MOT:	&uh oh.,*MOT:	&uh oh.,*CHI:	what happened?,*MOT:	&uh oh.,*MOT:	xxx.,*MOT:	the little bit that I did fell out.,*CHI:	which fell out?,*MOT:	the little nuts that I put back in.,*MOT:	I know these go here.,*MOT:	that's about the only thing I know.,*MOT:	okay.,4111
no ya know Daddy wasn't home .,eddie_dinner.cha,992,know,think,know,declarative,declarative,2,1.002,eddie,dinner,*MOT:	xxx.,*MOT:	did you tell Daddy who had supper with us last night?,*MOT:	xxx.,*MOT:	who ate here last night?,*FAT:	I didn't see you last night .,*CHI:	Uncle Allen .,*FAT:	Allen who?,*CHI:	Allen Reed.,*FAT:	okay.,*FAT:	I didn't see you last night.,*MOT:	no ya know Daddy wasn't home.,*FAT:	tell me what you did last night.,"*MOT:	tell him, yeah  tell him what happened.",4111
"oh yeah , I know that's a_lot_of good stuff in there xxx .",katie_dinner.cha,2081,know,think,know,declarative,declarative,1,1.013,katie,dinner,*MOT:	we're not gonna eat here so you can have a xxx .,*AUN:	xxx  left over night is the night you guys go out [laughs].,*FAT:	gonna finish your muffin?,"*AUN:	no, I'll xxx  .",*MOT:	give  her time.,*MOT:	give her time.,*AUN:	I like leftovers.,"*MOT:	well, there's  there's xxx and there's macaroni .",*CHI:	&mm .,*CHI:	&mm .,"*AUN:	oh yeah, I know that's a_lot_of good stuff in there xxx.","*AUN:	Katie, it's left over night.",*CHI:	who?,4111
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,4111
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,4111
