matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
I know they better get a second car .,patricia_dinner.cha,4259,know,think,know,declarative,declarative,1,1.011,patricia,dinner,"*FAT:	Ush, stop blowing.","*FAT:	anyway, if Sarah's gonna move far: away: . but she might still",*MOT:	what?,*FAT:	what?,*MOT:	what were you telling her?,*FAT:	is she still coming to playgroup?,*MOT:	yes: Abba.,*MOT:	xxx a_lot_of trouble.,"*FAT:	oh xxx oh, gee.",*FAT:	how's she gonna schlep em in?,*MOT:	I know they better get a second car.,*FAT:	oh !,*FAT:	xxx.,1989
I know I want some milk .,isadora_fathertoy.cha,364,know,think,know,declarative,declarative,1,1.019,isadora,father,*FAT:	can you find a good cereal in your store for me?,*CHI:	mhm.,*FAT:	which kind of good cereal is that?,*CHI:	&um there  there's drinks here too.,*FAT:	there're drinks too?,*CHI:	you could have hotdogs.,*FAT:	not for breakfast.,*CHI:	mhm.,*FAT:	well.,*FAT:	look.,*FAT:	I know I want some milk.,*FAT:	can I have one of these?,*CHI:	yeah.,1989
I know I hate those things too artificial corn holders .,victor_dinner.cha,1846,know,think,know,declarative,declarative,1,1.02,victor,dinner,*MOT:	[laughs they'd like you to][laughs schedule it more than].,*MOT:	.. except it's on my calendar.,*MOT:	she understanded  .,*FAT: [grunts].,*MOT:	[laughs].,*FAT:	&mm: xxx.,*FAT: [grunts].,*MOT:	she said they call you the night .,*MOT:	they call you one night .. during the week before you come and,*CHI:	those things out.,*MOT:	I know I hate those things too artificial corn holders.,*FAT:	well .,*FAT: [grunts].,1989
she knows I'm going away .,victor_dinner.cha,3667,knows,thinks,know,declarative,declarative,3,1.001,victor,dinner,*MOT:	you xxx can do that but the next week I will not be here.,*MOT:	I will be on the vineyard.,*FAT:	xxx.,*MOT:	and I have him.,*MOT:	I come back Saturday.,*CHI:	ee@b !,*FAT: [clears throat].,*FAT:	that's convenient [laughs].,*MOT:	[laughs].,*MOT:	&um Alice might keep him.,*MOT:	she knows I'm going away.,*MOT:	she's agreed to .. help out.,*MOT:	or whatever .,1989
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,1989
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,1989
"well , I know it's money .",bobby_mothertoy.cha,1282,know,think,know,declarative,declarative,1,1.017,bobby,mother,*MOT:	which one's the ten dollar bill?,*CHI:	this.,*MOT:	what's that number on it?,*CHI:	&uh xxx.,"*MOT:	no, what's the number?",*CHI:	&uh xxx.,*MOT:	look at it !,*MOT:	don't guess.,*MOT:	look at it.,*CHI:	money.,"*MOT:	well, I know it's money.",*MOT:	but what number's that?,*CHI:	xxx.,1989
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,1989
oh I know you can why don't you just .,andy_mothertoy.cha,1315,know,think,know,declarative,declarative,1,1.009,andy,mother,*CHI:	where was it?,"*MOT:	oh, it's right there Andy.",*INV:	how's it going?,*MOT:	fine.,*INV:	don't feel that you have_to put it back together again.,*MOT:	oh.,*INV:	why don't you just move on to the next one?,*MOT:	oh okay.,*INV:	it's terribly complicated.,*CHI:	I can fix it up.,*INV:	oh I know you can why don't you just.,*MOT:	yeah yeah Andy's been talking about it cause he couldn't do it last,*INV:	well it is  it is  it's  it isn't important to put it,1989
I know you do .,victor_mothertoy.cha,195,know,think,know,declarative,declarative,1,1.008,victor,mother,*CHI:	soup?,*MOT:	maybe.,*MOT:	soup.,*CHI:	soup.,*CHI:	what's dis ?,*MOT:	that is .,*CHI:	what?,*MOT:	stuff you put in milk.,*MOT:	it's terrible it's all sugar.,*CHI:	I like sugar.,*MOT:	I know you do.,"*CHI:	what's dis , Mama?",*MOT:	that you know.,1989
I know it's not a big favor [=! laughing] .,victor_dinner.cha,3411,know,think,know,declarative,declarative,1,1.016,victor,dinner,*MOT: [imitates noise so cold]?,*MOT:	no thank_you.,*FAT:	&mm: boy.,*MOT: [snickers].,*FAT: [snickers and grunts]6. no thanks.,*MOT:	goes with the corn on 3. your chin.,"*FAT:	orange and yellow, it's very . xxx sunny ya know.",*CHI:	no?,*MOT:	no thanks I'm debating whether to tell you guys you can come to the,*FAT: [laughing don't do me any favors xxx].,*MOT:	I know it's not a big favor [laughing].,*MOT:	that's why I'm debating.,*FAT:	[laughs].,1989
"I know it's your birthday and you got presents , but you still have_to eat your dinner .",charlie_dinner.cha,1525,know,think,know,declarative,declarative,1,1.015,charlie,dinner,*CHI:	xxx living room.,"*FAT:	you didn't lose it, you just left it in the living room.",*CHI:	why?,*FAT:	I don't know why.,*FAT:	why?,*CHI:	no.,"*FAT:	well, it's hard to eat with a baseball mitt on.",*FAT:	that's why.,"*CHI:	but Dad, I wanna see it.","*CHI:	Dad, it's my birthday and I get presents.","*FAT:	I know it's your birthday and you got presents, but you still have_to eat your dinner.",*CHI:	I don't want any: xxx.,*FAT:	sure you do.,1989
I know you don't .,helen_dinner.cha,526,know,think,know,declarative,declarative,1,1.006,helen,dinner,*MOT:	when is the corn gonna be ready?,*CHI:	yeah.,"*MOT:	oh, in about ten minutes.","*CHI:	Mommy, I want some more soup.",*MOT:	you do?,"*MOT:	alright here, I'll give you some of mine, okay?","*SIS:	Ma, I don't want any more .","*FAT:	you can have some more carrots,   too.",*MOT:	oh.,*SIS:	I don't want any more.,*MOT:	I know you don't.,*MOT:	it's alright 6..,"*CHI:	thank_you, Daddy.",1989
"I know one of the wheels goes in here , right ?",andy_fathertoy.cha,1072,know,think,know,declarative,declarative,1,1.014,andy,father,*FAT:	yeah. ,*FAT:	you're right. ,*FAT:	does this red fellow go here? ,*FAT:	no. ,*FAT:	xxx. ,*CHI:	where is my place? ,*FAT:	xxx. ,*CHI:	where's my place? ,*FAT:	well I know one thing. ,*CHI:	what? ,"*FAT:	I know one of the wheels goes in here, right? ",*FAT:	xxx. ,*CHI:	that's not the wheel. ,1989
I know you don't have_to .,richard_mothertoy.cha,2300,know,think,know,declarative,declarative,1,1.007,richard,mother,*MOT:	yeah.,*MOT:	what do you do with the spoon?,*MOT:	huh?,"*MOT:	Richard, I'm gonna take off the wheels.",*CHI:	no.,*MOT:	yes.,*MOT:	an you're gonna try and put them back on?,*MOT:	okay?,*CHI:	no.,*CHI:	don't have_to.,*MOT:	I know you don't have_to.,*CHI:	you don't have_to.,"*CHI:	you don't have_to, Mommy.",1989
I know what it is .,martin_dinner.cha,2690,know,think,know,declarative,interrogative,1,3.012,martin,dinner,*CHI:	0.,*MOT:	whyn't  you eat those potatoes?,*MOT:	you did a very nice job.,*MOT:	you ate all your scallops and your salad.,*MOT:	whyn't  you eat some potato?,*FAT:	what's the red stuff on the floor here ?,*CHI:	Daddy ate the scallops .,*MOT:	yeah [laughs but Daddy didn't eat too many of em].,"*FAT:	oh, God !",*FAT:	there's chopped up +/.,*MOT:	I know what it is.,*FAT:	chopped up crayon.,*CHI:	I eat too many of em .,1989
